$0;1716324485132890096;1.15.4;KIEKER;MacBook-Pro.local;1;false;0;NANOSECONDS;0
$1;1716324485143409087;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;1461699554058436609;1716324485142324350;1716324485143263341;MacBook-Pro.local;0;0
$1;1716324485155135930;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;1461699554058436610;1716324485155106052;1716324485155130094;MacBook-Pro.local;1;1
$1;1716324485155170269;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;1461699554058436610;1716324485143490448;1716324485155166587;MacBook-Pro.local;0;0
$1;1716324485155257344;public java.util.List org.mybatis.jpetstore.web.actions.OrderActionBean.getOrderList();<no-session-id>;1461699554058436611;1716324485155244026;1716324485155253815;MacBook-Pro.local;0;0
$1;1716324485320764712;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;1461699554058436612;1716324485320742551;1716324485320757389;MacBook-Pro.local;0;0
$1;1716324485320833499;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;1461699554058436613;1716324485320817651;1716324485320822946;MacBook-Pro.local;1;1
$1;1716324485320846732;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;1461699554058436613;1716324485320806934;1716324485320843909;MacBook-Pro.local;0;0
$1;1716324485321844062;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;1461699554058436614;1716324485321825717;1716324485321838884;MacBook-Pro.local;0;0
$1;1716324485324946771;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;1461699554058436615;1716324485324930309;1716324485324941086;MacBook-Pro.local;0;0
$1;1716324485325000311;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;1461699554058436616;1716324485324992177;1716324485324997284;MacBook-Pro.local;1;1
$1;1716324485325012223;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;1461699554058436616;1716324485324982515;1716324485325009426;MacBook-Pro.local;0;0
$1;1716324485325077789;public boolean org.mybatis.jpetstore.web.actions.OrderActionBean.isShippingAddressRequired();<no-session-id>;1461699554058436617;1716324485325066663;1716324485325074699;MacBook-Pro.local;0;0
$1;1716324485328314565;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;1461699554058436618;1716324485328299026;1716324485328309084;MacBook-Pro.local;0;0
$1;1716324485328515946;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;1461699554058436619;1716324485328505576;1716324485328511905;MacBook-Pro.local;1;1
$1;1716324485328533821;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;1461699554058436619;1716324485328493227;1716324485328528906;MacBook-Pro.local;0;0
$1;1716324485328595521;public boolean org.mybatis.jpetstore.web.actions.OrderActionBean.isConfirmed();<no-session-id>;1461699554058436620;1716324485328582819;1716324485328591051;MacBook-Pro.local;0;0
$1;1716324485366539786;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;1461699554058436621;1716324485366519254;1716324485366532604;MacBook-Pro.local;0;0
